Indicator,Country,2012_value,2013_value,2014_value,2015_value
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Afghanistan,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Albania,,,,35
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Algeria,1,1,1,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,American Samoa,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Andorra,,,,50
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Angola,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Anguilla,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Antigua & Barbuda,,,,98
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Argentina,,,,65
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Armenia,,44,46,46.5
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Aruba,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Ascension,,,,100
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Australia,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Austria,,,,98
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Azerbaijan,,,49,50
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Bahamas,,,,95
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Bahrain,,,95.6,95.6
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Bangladesh,,,59,65
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Barbados,,,0,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Belarus,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Belgium,,,,99.89
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Belize,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Benin,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Bermuda,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Bhutan,,,,40
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Bolivia,,,1.6,2.5
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Bosnia and Herzegovina,,,0,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Botswana,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Brazil,,,,56.72
Percentage of the population covered by at least an LTE/WiMAX mobile network.,British Virgin Islands,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Brunei Darussalam,,,,80
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Bulgaria,0,0,34.5,56.73
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Burkina Faso,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Burundi,0,0,0,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Cambodia,,,,30
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Cameroon,,,,24.4
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Canada,,,93,96
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Cape Verde,,,76.5,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Cayman Islands,,,,80
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Central African Rep.,,,20,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Chad,,,8.6,8.6
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Chile,,,,76
Percentage of the population covered by at least an LTE/WiMAX mobile network.,China,,,7.11,28.2
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Cocos Keeling Islands,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Colombia,,,56,81
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Comoros,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Congo (Dem. Rep.),,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Congo (Rep.),,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Cook Islands,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Costa Rica,,,,41
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Croatia,,,,93.08
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Cuba,,,,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Curacao,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Cyprus,,,,60
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Czech Republic,0,0,92.1,98.7
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Côte d'Ivoire,,,27.27,33
Percentage of the population covered by at least an LTE/WiMAX mobile network.,D.P.R. Korea,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Denmark,,,99.5,99.99
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Djibouti,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Dominica,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Dominican Rep.,,,,86.4
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Ecuador,,,28.19,49.63
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Egypt,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,El Salvador,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Equatorial Guinea,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Eritrea,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Estonia,,,100,100
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Ethiopia,,,10,10
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Falkland (Malvinas) Is.,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Faroe Islands,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Fiji,,,,17
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Finland,,,,99.9
Percentage of the population covered by at least an LTE/WiMAX mobile network.,France,,,,80
Percentage of the population covered by at least an LTE/WiMAX mobile network.,French Guiana,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,French Polynesia,,,0,35
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Gabon,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Gambia,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Georgia,,,,82
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Germany,,,92.1,95.7
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Ghana,,,,23
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Gibraltar,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Greece,,,55,83
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Greenland,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Grenada,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Guadeloupe,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Guam,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Guatemala,,,,1
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Guernsey,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Guinea,,,,10.3
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Guinea-Bissau,,,,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Guyana,,,,50
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Haiti,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Honduras,,,,18
Percentage of the population covered by at least an LTE/WiMAX mobile network.,"Hong Kong, China",,,,99
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Hungary,,,,97.3
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Iceland,,,89,93
Percentage of the population covered by at least an LTE/WiMAX mobile network.,India,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Indonesia,,,,5
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Iran (I.R.),,,4.33,14.06
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Iraq,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Ireland,,,87,90
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Israel,,,,60
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Italy,,,90,91
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Jamaica,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Japan,,,,99
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Jersey,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Jordan,,,80,80
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Kazakhstan,,,43.3,65.5
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Kenya,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Kiribati,,,,54
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Korea (Rep.),,,99,99
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Kosovo,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Kuwait,,,,100
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Kyrgyzstan,,,0.5,1.6
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Lao P.D.R.,,,2,5
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Latvia,,,,90
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Lebanon,,,,31
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Lesotho,,,62.7,64
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Liberia,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Libya,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Liechtenstein,,,0,95
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Lithuania,,,80,91
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Luxembourg,,,93,96
Percentage of the population covered by at least an LTE/WiMAX mobile network.,"Macao, China",,,,99
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Madagascar,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Malawi,,,,6
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Malaysia,,,33,71
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Maldives,,,,58
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Mali,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Malta,,,,100
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Marshall Islands,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Martinique,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Mauritania,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Mauritius,,,,35.3
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Mayotte,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Mexico,,,,58
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Micronesia,,,,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Moldova,,,33,84
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Monaco,,,,100
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Mongolia,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Montenegro,,,62,65
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Montserrat,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Morocco,,,,45.44
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Mozambique,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Myanmar,,,,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Namibia,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Nauru,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Nepal,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Neth. Antilles,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Netherlands,,,99,99
Percentage of the population covered by at least an LTE/WiMAX mobile network.,New Caledonia,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,New Zealand,,,50,88
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Nicaragua,,,,4
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Niger,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Nigeria,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Niue,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Norfolk Islands,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Northern Marianas,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Norway,,,,95
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Oman,,52,76,86
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Pakistan,,,7,16
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Palau,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Palestine,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Panama,,,,10
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Papua New Guinea,,,,35
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Paraguay,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Peru,,,,62
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Philippines,,,,39
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Poland,,,80,83.7
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Portugal,,,,99.1
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Puerto Rico,,,,75
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Qatar,,,58,63
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Romania,54,59,68,72
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Russian Federation,,,,50
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Rwanda,,,8,20
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Réunion,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,S. Tomé & Principe,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Samoa,,,,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,San Marino,,,,10
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Saudi Arabia,,,82,85
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Senegal,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Serbia,,,,56.74
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Seychelles,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Sierra Leone,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Singapore,,,,100
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Slovakia,,24,52,75
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Slovenia,12.8,63.4,89.7,97.7
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Solomon Islands,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Somalia,22,49,50,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,South Africa,,,34,54
Percentage of the population covered by at least an LTE/WiMAX mobile network.,South Sudan,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Spain,,,75,75
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Sri Lanka,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Helena,,,,90
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Kitts and Nevis,,,0,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Lucia,,,0,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Maarten,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Pierre & Miquelon,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Vincent and the Grenadines,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Sudan,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Suriname,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Swaziland,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Sweden,93.26,99.19,99.45,99.99
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Switzerland,20,85,98,98
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Syria,,,,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,TFYR Macedonia,,,,71
Percentage of the population covered by at least an LTE/WiMAX mobile network.,"Taiwan, Province of China",,,99.3,99.45
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tajikistan,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tanzania,,,,13
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Thailand,,,,21
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Timor-Leste,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Togo,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tokelau,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tonga,,,,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Trinidad & Tobago,,,,65
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tunisia,,,0,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Turkey,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Turkmenistan,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Turks & Caicos Is.,,,,95
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tuvalu,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Uganda,,,,4
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Ukraine,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,United Arab Emirates,,,85,93.7
Percentage of the population covered by at least an LTE/WiMAX mobile network.,United Kingdom,,,,89.5
Percentage of the population covered by at least an LTE/WiMAX mobile network.,United States,,,98.5,99.6
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Uruguay,,,,50
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Uzbekistan,,,1,10
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Vanuatu,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Vatican,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Venezuela,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Viet Nam,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Virgin Islands (US),,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Wallis and Futuna,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Yemen,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Zambia,,,0.46,1.34
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Zimbabwe,,,2,11
